Cycle,Window,Def,Group,N,PY,UCOD,Cause,Deaths,Rate/1000PY,Flag
2017-2018,24,FIB4 ≥2.67 vs <1.30,Fibrosis-,3573,6195.7,3,Chronic lower resp.,0,0.0,UNSTABLE
2017-2018,24,FIB4 ≥2.67 vs <1.30,Fibrosis-,3573,6195.7,4,Accidents,0,0.0,UNSTABLE
2017-2018,24,FIB4 ≥2.67 vs <1.30,Fibrosis-,3573,6195.7,5,Cerebrovascular,0,0.0,UNSTABLE
2017-2018,24,FIB4 ≥2.67 vs <1.30,Fibrosis-,3573,6195.7,6,Alzheimer's,0,0.0,UNSTABLE
2017-2018,24,FIB4 ≥2.67 vs <1.30,Fibrosis-,3573,6195.7,7,Diabetes,0,0.0,UNSTABLE
2017-2018,24,FIB4 ≥2.67 vs <1.30,Fibrosis-,3573,6195.7,8,Influenza/pneumonia,0,0.0,UNSTABLE
2017-2018,24,FIB4 ≥2.67 vs <1.30,Fibrosis-,3573,6195.7,9,Nephritis,0,0.0,UNSTABLE
2017-2018,24,FIB4 ≥2.67 vs <1.30,Fibrosis-,3573,6195.7,10,All other causes,11,1.8,
2017-2018,24,LSM Castera/EASL,Fibrosis+,386,654.7,1,Heart disease,4,6.1,UNSTABLE
2017-2018,24,LSM Castera/EASL,Fibrosis+,386,654.7,2,Malignant neoplasms,8,12.2,UNSTABLE
2017-2018,24,LSM Castera/EASL,Fibrosis+,386,654.7,3,Chronic lower resp.,0,0.0,UNSTABLE
2017-2018,24,LSM Castera/EASL,Fibrosis+,386,654.7,4,Accidents,0,0.0,UNSTABLE
2017-2018,24,LSM Castera/EASL,Fibrosis+,386,654.7,5,Cerebrovascular,0,0.0,UNSTABLE
2017-2018,24,LSM Castera/EASL,Fibrosis+,386,654.7,6,Alzheimer's,0,0.0,UNSTABLE
2017-2018,24,LSM Castera/EASL,Fibrosis+,386,654.7,7,Diabetes,0,0.0,UNSTABLE
2017-2018,24,LSM Castera/EASL,Fibrosis+,386,654.7,8,Influenza/pneumonia,0,0.0,UNSTABLE
2017-2018,24,LSM Castera/EASL,Fibrosis+,386,654.7,9,Nephritis,0,0.0,UNSTABLE
2017-2018,24,LSM Castera/EASL,Fibrosis+,386,654.7,10,All other causes,6,9.2,UNSTABLE
2017-2018,24,LSM Castera/EASL,Fibrosis-,4274,7367.8,1,Heart disease,9,1.2,UNSTABLE
2017-2018,24,LSM Castera/EASL,Fibrosis-,4274,7367.8,2,Malignant neoplasms,15,2.0,
2017-2018,24,LSM Castera/EASL,Fibrosis-,4274,7367.8,3,Chronic lower resp.,0,0.0,UNSTABLE
2017-2018,24,LSM Castera/EASL,Fibrosis-,4274,7367.8,4,Accidents,0,0.0,UNSTABLE
2017-2018,24,LSM Castera/EASL,Fibrosis-,4274,7367.8,5,Cerebrovascular,0,0.0,UNSTABLE
2017-2018,24,LSM Castera/EASL,Fibrosis-,4274,7367.8,6,Alzheimer's,0,0.0,UNSTABLE
2017-2018,24,LSM Castera/EASL,Fibrosis-,4274,7367.8,7,Diabetes,0,0.0,UNSTABLE
2017-2018,24,LSM Castera/EASL,Fibrosis-,4274,7367.8,8,Influenza/pneumonia,0,0.0,UNSTABLE
2017-2018,24,LSM Castera/EASL,Fibrosis-,4274,7367.8,9,Nephritis,0,0.0,UNSTABLE
2017-2018,24,LSM Castera/EASL,Fibrosis-,4274,7367.8,10,All other causes,33,4.5,
2017-2018,24,LSM Eddowes/NAFLD,Fibrosis+,370,627.2,1,Heart disease,3,4.8,UNSTABLE
2017-2018,24,LSM Eddowes/NAFLD,Fibrosis+,370,627.2,2,Malignant neoplasms,8,12.8,UNSTABLE
2017-2018,24,LSM Eddowes/NAFLD,Fibrosis+,370,627.2,3,Chronic lower resp.,0,0.0,UNSTABLE
2017-2018,24,LSM Eddowes/NAFLD,Fibrosis+,370,627.2,4,Accidents,0,0.0,UNSTABLE
2017-2018,24,LSM Eddowes/NAFLD,Fibrosis+,370,627.2,5,Cerebrovascular,0,0.0,UNSTABLE
2017-2018,24,LSM Eddowes/NAFLD,Fibrosis+,370,627.2,6,Alzheimer's,0,0.0,UNSTABLE
